测试套/软件包名,测试用例名,日志文件,原因,Broken testcase,pkg not found,preinstall absent,kernel module absent,file missing,systemd unit restart failure,systemd unit runtime error,systemd unit enable failure,timeout
lvm2,oe_test_service_dm-event,2023-03-10-11:30:47.log,"Broken testcase
preinstall absent
systemd unit restart failure
",1,0,1,0,0,1,0,0,0
lvm2,oe_test_lvm2_pvmove_001,2023-03-10-11:55:01.log,"Broken testcase
preinstall absent
kernel module absent
",1,0,1,1,0,0,0,0,0
lvm2,oe_test_service_blk-availability,2023-03-10-11:29:58.log,"Broken testcase
preinstall absent
systemd unit restart failure
",1,0,1,0,0,1,0,0,0
lvm2,oe_test_service_lvm2-lvmpolld,2023-03-10-11:36:13.log,"Broken testcase
systemd unit enable failure
",1,0,0,0,0,0,0,1,0
lvm2,oe_test_socket_lvm2-lvmpolld,2023-03-10-11:47:13.log,"Broken testcase
",1,0,0,0,0,0,0,0,0
lvm2,oe_test_lvm2_pvremove_001,2023-03-10-11:47:59.log,"Broken testcase
preinstall absent
",1,0,1,0,0,0,0,0,0
lvm2,oe_test_lvm2_pvresize_001,2023-03-10-11:53:34.log,"Broken testcase
preinstall absent
",1,0,1,0,0,0,0,0,0
lvm2,oe_test_lvm2_pvdisplay_001,2023-03-10-11:59:01.log,"Broken testcase
",1,0,0,0,0,0,0,0,0
lvm2,oe_test_service_lvm2-lvmdbusd,2023-03-10-11:31:34.log,"Broken testcase
preinstall absent
systemd unit restart failure
systemd unit runtime error
",1,0,1,0,0,1,1,0,0
lvm2,oe_test_lvm2_vgchange_002,2023-03-10-12:05:31.log,"Broken testcase
",1,0,0,0,0,0,0,0,0
lvm2,oe_test_lvm2_vgextend_002,2023-03-10-12:02:25.log,"Broken testcase
",1,0,0,0,0,0,0,0,0
lvm2,oe_test_lvm2_pvchange_001,2023-03-10-12:00:49.log,"Broken testcase
",1,0,0,0,0,0,0,0,0
lvm2,oe_test_lvm2_vgcreate_001,2023-03-10-11:55:49.log,"Broken testcase
preinstall absent
",1,0,1,0,0,0,0,0,0
lvm2,oe_test_lvm2_pvcreate_002,2023-03-10-11:51:15.log,"Broken testcase
preinstall absent
",1,0,1,0,0,0,0,0,0
lvm2,oe_test_lvm2_pvmove_002,2023-03-10-11:59:43.log,"Broken testcase
kernel module absent
",1,0,0,1,0,0,0,0,0
lvm2,oe_test_lvm2_pvcreate_001,2023-03-10-11:54:15.log,"Broken testcase
",1,0,0,0,0,0,0,0,0
lvm2,oe_test_lvm2_vgdisplay_001,2023-03-10-11:57:34.log,"Broken testcase
",1,0,0,0,0,0,0,0,0
lvm2,oe_test_lvm2_pvdisplay_002,2023-03-10-11:56:51.log,"Broken testcase
",1,0,0,0,0,0,0,0,0
lvm2,oe_test_lvm2_vgexport_001,2023-03-10-12:04:38.log,"Broken testcase
",1,0,0,0,0,0,0,0,0
